rank,feature_index,id,length,gc_content,complexity,importance_score,prevalence_pct,n_samples_present,mean_frac_present,median_frac_present,best_hit_species
1,42769,2532208,5416,44.73781388478582,1.9845357536010257,8.734211921691895,26.612377850162865,817,0.584088146686554,0.8999999761581421,Staphylococcus haemolyticus
2,58044,2587432,72,48.61111111111111,1.978914232330877,7.987663269042969,21.107491856677523,648,0.5533642172813416,0.6000000238418579,Steroidobacter denitrificans
3,73483,2638325,123,29.268292682926827,1.871442418112287,7.640116214752197,13.061889250814332,401,0.923940122127533,1.0,No blast hit
4,48083,2551808,61,36.0655737704918,1.9097947096899266,6.2372307777404785,16.514657980456025,507,0.6986390948295593,0.8999999761581421,Homo sapiens
5,58162,2587591,61,49.18032786885246,1.5076213244090613,5.662905693054199,28.175895765472312,865,0.49278613924980164,0.38999998569488525,No blast hit
6,89128,2693057,61,42.62295081967213,1.4561112661478437,5.602121353149414,22.21498371335505,682,0.6544574499130249,0.8999999761581421,No blast hit
7,39027,2521890,67,62.68656716417911,1.9485098756931831,5.329452991485596,20.35830618892508,625,0.589087963104248,0.5899999737739563,Gemmatimonadales bacterium
8,83926,2673917,82,68.29268292682927,1.8785324347235735,5.321861743927002,29.6742671009772,911,0.622974693775177,0.6899999976158142,Actinomyces sp.
9,83289,2673068,66,59.09090909090909,1.689035435387326,5.2637939453125,12.052117263843648,370,0.8741891980171204,1.0,PREDICTED: Ailuropoda
10,53107,2569730,64,64.0625,1.9413980376599163,5.170979022979736,26.319218241042346,808,0.5910890698432922,0.6200000047683716,Chromobacterium violaceum
11,32725,2491740,73,54.794520547945204,1.9890983405616893,5.1048359870910645,35.37459283387622,1086,0.6544382572174072,0.7699999809265137,Janthinobacterium lividum
12,2,610007,61,47.540983606557376,1.1034990673875955,5.094490051269531,26.254071661237784,806,0.45362281799316406,0.3499999940395355,No blast hit
13,98039,2722449,72,45.83333333333333,1.9871086637005075,5.046472549438477,42.96416938110749,1319,0.5742759704589844,0.5699999928474426,Fusobacterium polymorphum
14,48061,2551664,64,59.375,1.899988766373815,5.043125629425049,23.843648208469055,732,0.5453552007675171,0.4699999988079071,Mycolicibacterium chitae
15,61486,2599697,77,66.23376623376623,1.912092211004246,4.928606986999512,20.06514657980456,616,0.6808279752731323,0.8500000238418579,MAG: Nitrospira
16,25392,2466982,104,37.5,1.9541494239872044,4.878964424133301,26.188925081433226,804,0.656865656375885,0.8199999928474426,Homo sapiens
17,46190,2545043,66,53.03030303030303,1.9714157726920518,4.867862701416016,29.446254071661237,904,0.7194579839706421,0.9399999976158142,Fusobacterium polymorphum
18,89071,2692552,78,56.41025641025641,1.934559199734664,4.802392959594727,22.41042345276873,688,0.5320639610290527,0.5400000214576721,Clostridium perfringens
19,97781,2722178,72,65.27777777777779,1.9105739280137324,4.62284517288208,38.11074918566775,1170,0.6261111497879028,0.7400000095367432,Actinomyces timonensis
20,28357,2478690,61,50.81967213114754,1.555908473384584,4.572521686553955,32.08469055374593,985,0.589695394039154,0.6499999761581421,No blast hit
21,23373,2460873,88,59.09090909090909,1.9448794969301497,4.548331260681152,24.9185667752443,765,0.49975162744522095,0.4099999964237213,Ramlibacter sp.
22,6909,2392070,61,57.377049180327866,1.9510501943492133,4.545387268066406,32.63843648208469,1002,0.632684588432312,0.7400000095367432,Paenarthrobacter nitroguajacolicus
23,100084,2729624,61,37.704918032786885,1.9057026102692773,4.523261547088623,27.36156351791531,840,0.7751547694206238,1.0,Homo sapiens
24,55081,2576441,61,34.42622950819672,1.6796605229195791,4.522229194641113,25.830618892508145,793,0.557616651058197,0.5799999833106995,No blast hit
25,82952,2671710,61,45.90163934426229,1.9902277600210603,4.518916130065918,14.82084690553746,455,0.7434945106506348,0.9700000286102295,Silene latifolia
26,17428,2439597,61,62.295081967213115,1.9463023955248935,4.518465042114258,28.990228013029316,890,0.6952809691429138,0.8700000047683716,Achromobacter xylosoxidans
27,89129,2693058,61,42.62295081967213,1.4794731020725562,4.489227771759033,23.908794788273617,734,0.5828882455825806,0.6949999928474426,No blast hit
28,12288,2423118,61,36.0655737704918,1.883240577891304,4.419910907745361,32.57328990228013,1000,0.7528799772262573,1.0,Homo sapiens
29,61517,2599744,72,44.44444444444444,1.9546859469463558,4.417322158813477,39.28338762214984,1206,0.635804295539856,0.6299999952316284,Diaphorobacter sp.
30,49132,2556722,63,50.79365079365079,1.9775861861497872,4.405792713165283,16.872964169381106,518,0.6320464015007019,0.925000011920929,Mycolicibacterium smegmatis
